County,Property Address,Auction Status,Case #,Auction Type,Case # Link,Parcel ID,Parcel ID Link,Assessed Value,Opening Bid,Final Judgment Amount,Certificate #,Tags
Bay,CREEK HAVEN RD,06/04/2024 10:00 AM CT,2024-0560TD,TAXDEED ,N/A,02856-060-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=02856-060-000,"$8,996.00","$2,549.72",N/A,560,"Bay, TAXDEED "
Bay,1554 SALAMANDER TRL,06/04/2024 10:00 AM CT,2024-5142TD,TAXDEED ,N/A,35271-990-039,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=35271-990-039,"$30,855.00","$37,868.25",N/A,5142,"Bay, TAXDEED "
Bay,12505 SUNCREST,06/25/2024 10:00 AM CT,2024-0035TD,TAXDEED ,N/A,00187-127-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=00187-127-000,"$5,775.00","$2,040.61",N/A,0035,"Bay, TAXDEED "
Bay,MANOR BLVD,06/25/2024 10:00 AM CT,2024-0522TD,TAXDEED ,N/A,02987-000-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=02987-000-000,"$8,018.00","$1,260.11",N/A,0522,"Bay, TAXDEED "
Bay,11636 PRICKLEY PEAR LANE,06/25/2024 10:00 AM CT,2024-0602TD,TAXDEED ,N/A,03253-030-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=03253-030-000,"$3,094.00","$1,705.93",N/A,0602,"Bay, TAXDEED "
Bay,7 4S 13W -178-,06/25/2024 10:00 AM CT,2024-1355TD,TAXDEED ,N/A,06241-000-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=06241-000-000,"$11,892.00","$1,461.52",N/A,1355,"Bay, TAXDEED "
Bay,1513 LOUISIANA AVE,06/25/2024 10:00 AM CT,2024-2704TD,TAXDEED ,N/A,14575-000-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=14575-000-000,"$10,834.00","$12,897.91",N/A,2704,"Bay, TAXDEED "
Bay,940 MAGNOLIA AVE,06/25/2024 10:00 AM CT,2024-3208TD,TAXDEED ,N/A,17827-000-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=17827-000-000,"$5,306.00","$2,257.65",N/A,3208,"Bay, TAXDEED "
Bay,4703 3RD E,06/25/2024 10:00 AM CT,2024-3807TD,TAXDEED ,N/A,24316-010-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=24316-010-000,"$17,749.00","$2,003.07",N/A,3807,"Bay, TAXDEED "
Bay,17924 APRIL AVE,07/02/2024 10:00 AM CT,2024-0402TD,TAXDEED ,N/A,02347-020-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=02347-020-000,"$30,924.00","$2,462.28",N/A,402,"Bay, TAXDEED "
Bay,10835 HWY 20 E,07/02/2024 10:00 AM CT,2024-0480TD,TAXDEED ,N/A,02823-000-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=02823-000-000,"$418,001.00","$221,876.32",N/A,480,"Bay, TAXDEED "
Bay,7332 COPENHAGEN LN,07/02/2024 10:00 AM CT,2024-1221TD,TAXDEED ,N/A,05658-123-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=05658-123-000,"$89,991.00","$4,814.07",N/A,1221,"Bay, TAXDEED "
