County,Property Address,Parcel ID,Auction Status,Auction Type,Case #,Parcel ID URL,Assessed Value,Opening Bid,Certificate #
Alachua,"7921 NE 57TH TER, GAINESVILLE, FL- 32609",07837-043-000,05/07/2024 10:00 AM ET,TAXDEED , TD 2024-027,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=07837-043-000,"$39,248.00","$23,691.89",2021-2115
Alachua,"17515 SW 129TH AVE, ARCHER, FL- 32618",05059-001-000,05/14/2024 10:00 AM ET,TAXDEED , TD 2024-028,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=05059-001-000,"$4,000.00","$5,026.14",2021-1011
Alachua,"1024 SW 60TH TER, GAINESVILLE, FL- 32607",06675-009-029,06/04/2024 10:00 AM ET,TAXDEED , TD 2024-030,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=06675-009-029,N/A,"$17,758.19",2021-1627
Alachua,"2234 NW 162ND ST, NEWBERRY, FL- 32669",04238-005-000,06/04/2024 10:00 AM ET,TAXDEED , TD 2024-031,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=04238-005-000,N/A,"$28,895.30",2021-800
Alachua,"6110 SW 10TH PL, GAINESVILLE, FL- 32607",06675-009-004,06/04/2024 10:00 AM ET,TAXDEED , TD 2024-032,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=06675-009-004,N/A,"$15,190.11",2021-1626
Bay,"11TH ST, SOUTHPORT, FL- 32409",08321-020-000,05/07/2024 10:00 AM CT,TAXDEED , 2024-2249TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=08321-020-000,"$13,700.00","$3,110.65",2249
Bay,"CREEK HAVEN RD, FOUNTAIN, FL- 32438",02856-060-000,06/04/2024 10:00 AM CT,TAXDEED , 2024-0560TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=02856-060-000,"$8,996.00","$2,549.72",560
Bay,"1554 SALAMANDER TRL, PANAMA CITY BEACH, FL- 32413",35271-990-039,06/04/2024 10:00 AM CT,TAXDEED , 2024-5142TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=35271-990-039,"$30,855.00","$37,868.25",5142
Bay,"12505 SUNCREST, FOUNTAIN, FL- 32438",00187-127-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-0035TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=00187-127-000,"$5,775.00","$2,040.61",0035
Bay,"DOGWOOD ST, FOUNTAIN, FL- 32438",01780-000-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-0287TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=01780-000-000,"$7,650.00","$1,033.90",0287
Bay,"MANOR BLVD, FOUNTAIN, FL- 32438",02987-000-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-0522TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=02987-000-000,"$8,018.00","$1,260.11",0522
Bay,"11636 PRICKLEY PEAR LANE, FOUNTAIN, FL- 32438",03253-030-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-0602TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=03253-030-000,"$3,094.00","$1,705.93",0602
Bay,"7 4S 13W -178-, PANAMA CITY, FL- 32404",06241-000-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-1355TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=06241-000-000,"$11,892.00","$1,461.52",1355
Bay,"1513 LOUISIANA AVE, PANAMA CITY, FL- 32405",14575-000-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-2704TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=14575-000-000,"$10,834.00","$12,897.91",2704
Bay,"940 MAGNOLIA AVE, PANAMA CITY, FL- 32401",17827-000-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-3208TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=17827-000-000,"$5,306.00","$2,257.65",3208
Bay,"504 6TH CT E, PANAMA CITY, FL- 32401",20390-000-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-3383TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=20390-000-000,"$15,270.00","$10,124.41",3383
Bay,"4703 3RD E, PANAMA CITY, FL- 32404",24316-010-000,06/25/2024 10:00 AM CT,TAXDEED , 2024-3807TD,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=24316-010-000,"$17,749.00","$2,003.07",3807
Citrus,"4106 S JODY PT, HOMOSASSA, 34446",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2023-0719TD ,N/A,"$8,066.00","$3,392.49",16-10150
Citrus,"9255 E TINPAN ALLEY, INVERNESS, 34453",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0006TD ,N/A,"$77,636.00","$7,612.68",21-6238
Citrus,"7589 W BROADWAY ST, DUNNELLON, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0015TD ,N/A,"$5,264.00","$1,945.88",17-4845
Citrus,"8602 N ZURICH WAY, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0019TD ,N/A,"$3,873.00","$4,351.48",17-1920
Citrus,"4599 N TUMBLEWEED TRL, HERNANDO, 34442",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0025TD ,N/A,"$30,828.00","$4,637.72",21-4841
Citrus,"10410 E JOY LN, INVERNESS, 34450",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0032TD ,N/A,"$53,786.00","$2,020.38",21-4373
Citrus,"8207 W EMMA LN, CRYSTAL RIVER, 34428",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0034TD ,N/A,"$5,324.00","$1,888.41",18-6004
Citrus,"8178 W BAUMGARDNER LN, CRYSTAL RIVER, 34428",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0035TD ,N/A,"$5,960.00","$1,971.35",18-6836
Citrus,"6844 W GRANT ST, HOMOSASSA, 34448",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0036TD ,N/A,"$7,986.00","$2,209.99",18-7085
Citrus,"8236 N TINY LILY DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0037TD ,N/A,"$3,834.00","$3,237.45",19-1921
Citrus,"1321 W KENMORE DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0038TD ,N/A,"$3,872.00","$2,465.33",21-1840
Citrus,"10111 N RUTH TER, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0039TD ,N/A,"$3,146.00","$2,518.17",19-1606
Citrus,"8980 N BARBADOS WAY, CITRUS SPRINGS, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0040TD ,N/A,"$3,820.00","$4,401.25",19-2193
Citrus,"1431 E ODIN DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0041TD ,N/A,"$3,073.00","$2,647.60",18-3227
Citrus,"8614 N STERN WAY, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0042TD ,N/A,"$3,088.00","$2,705.47",21-1622
Citrus,"581 W FORTUNE LN, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0043TD ,N/A,"$3,678.00","$4,326.46",17-2771
Citrus,"7390 N IRELAND DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0044TD ,N/A,"$4,066.00","$2,142.55",19-2857
Citrus,"8001 N MALTESE DR, CITRUS SPRINGS, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0046TD ,N/A,"$3,485.00","$6,294.64",21-2102
Citrus,"7889 N MALTESE DR, CITRUS SPRINGS, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0047TD ,N/A,"$3,763.00","$3,246.09",19-2647
